country_code,date,spread_vs_de
ES,1998-03-31,17.6
ES,1998-04-30,22.4
ES,1998-05-31,21.5
ES,1998-06-30,22.4
ES,1998-07-31,20.4
ES,1998-08-31,45.1
ES,1998-09-30,45.1
ES,1998-10-31,34.4
ES,1998-11-30,29.8
ES,1998-12-31,12.7
ES,1999-01-31,25.5
ES,1999-02-28,23.9
ES,1999-03-31,28.6
ES,1999-04-30,25.6
ES,1999-05-31,28.1
ES,1999-06-30,28.0
ES,1999-07-31,18.5
ES,1999-08-31,27.6
ES,1999-09-30,23.1
ES,1999-10-31,31.7
ES,1999-11-30,19.5
ES,1999-12-31,17.9
ES,2000-01-31,21.2
ES,2000-02-29,21.9
ES,2000-03-31,22.7
ES,2000-04-30,22.6
ES,2000-05-31,33.3
ES,2000-06-30,28.7
ES,2000-07-31,26.8
ES,2000-08-31,29.9
ES,2000-09-30,30.0
ES,2000-10-31,26.0
ES,2000-11-30,36.4
ES,2000-12-31,29.2
ES,2001-01-31,26.0
ES,2001-02-28,35.3
ES,2001-03-31,36.3
ES,2001-04-30,35.7
ES,2001-05-31,31.4
ES,2001-06-30,32.2
ES,2001-07-31,31.2
ES,2001-08-31,29.5
ES,2001-09-30,26.9
ES,2001-10-31,32.7
ES,2001-11-30,30.3
ES,2001-12-31,13.3
ES,2002-01-31,19.11
ES,2002-02-28,18.93
ES,2002-03-31,17.14
ES,2002-04-30,16.53
ES,2002-05-31,14.73
ES,2002-06-30,16.65
ES,2002-07-31,18.84
ES,2002-08-31,18.74
ES,2002-09-30,17.8
ES,2002-10-31,11.42
ES,2002-11-30,7.18
ES,2002-12-31,8.58
ES,2003-01-31,5.24
ES,2003-02-28,3.45
ES,2003-03-31,0.7
ES,2003-04-30,0.49
ES,2003-05-31,1.49
ES,2003-06-30,-5.1
ES,2003-07-31,-7.56
ES,2003-08-31,3.23
ES,2003-09-30,-0.38
ES,2003-10-31,-1.55
ES,2003-11-30,-0.21
ES,2003-12-31,-1.24
ES,2004-01-31,-1.31
ES,2004-02-29,-5.4
ES,2004-03-31,-1.8
ES,2004-04-30,-4.2
ES,2004-05-31,-4.0
ES,2004-06-30,-8.8
ES,2004-07-31,-4.0
ES,2004-08-31,-3.0
ES,2004-09-30,4.1
ES,2004-10-31,1.2
ES,2004-11-30,-8.1
ES,2004-12-31,2.5
ES,2005-01-31,1.9
ES,2005-02-28,3.3
ES,2005-03-31,-2.9
ES,2005-04-30,3.7
ES,2005-05-31,-6.9
ES,2005-06-30,-7.7
ES,2005-07-31,1.8
ES,2005-08-31,-7.3
ES,2005-09-30,-1.8
ES,2005-10-31,-4.7
ES,2005-11-30,2.1
ES,2005-12-31,2.6
ES,2006-01-31,3.1
ES,2006-02-28,-1.8
ES,2006-03-31,2.1
ES,2006-04-30,-0.7
ES,2006-05-31,6.4
ES,2006-06-30,0.2
ES,2006-07-31,-0.2
ES,2006-08-31,-5.3
ES,2006-09-30,3.3
ES,2006-10-31,-0.2
ES,2006-11-30,3.6
ES,2006-12-31,5.1
ES,2007-01-31,5.1
ES,2007-02-28,8.4
ES,2007-03-31,4.0
ES,2007-04-30,-2.7
ES,2007-05-31,7.0
ES,2007-06-30,6.7
ES,2007-07-31,7.5
ES,2007-08-31,14.6
ES,2007-09-30,7.2
ES,2007-10-31,22.6
ES,2007-11-30,19.6
ES,2007-12-31,3.6
ES,2008-01-31,8.4
ES,2008-02-29,15.8
ES,2008-03-31,32.2
ES,2008-04-30,27.9
ES,2008-05-31,16.0
ES,2008-06-30,27.4
ES,2008-07-31,32.2
ES,2008-08-31,36.5
ES,2008-09-30,58.5
ES,2008-10-31,67.2
ES,2008-11-30,64.7
ES,2008-12-31,86.1
ES,2009-01-31,108.6
ES,2009-02-28,115.8
ES,2009-03-31,106.2
ES,2009-04-30,77.2
ES,2009-05-31,82.1
ES,2009-06-30,75.8
ES,2009-07-31,54.7
ES,2009-08-31,53.6
ES,2009-09-30,57.1
ES,2009-10-31,59.1
ES,2009-11-30,59.4
ES,2009-12-31,54.2
ES,2010-01-31,94.6
ES,2010-02-28,77.7
ES,2010-03-31,72.1
ES,2010-04-30,102.2
ES,2010-05-31,164.3
ES,2010-06-30,202.2
ES,2010-07-31,156.0
ES,2010-08-31,194.0
ES,2010-09-30,187.2
ES,2010-10-31,169.7
ES,2010-11-30,290.0
ES,2010-12-31,249.1
ES,2011-01-31,221.5
ES,2011-02-28,220.7
ES,2011-03-31,193.5
ES,2011-04-30,205.4
ES,2011-05-31,234.4
ES,2011-06-30,243.1
ES,2011-07-31,359.3
ES,2011-08-31,283.5
ES,2011-09-30,327.4
ES,2011-10-31,351.3
ES,2011-11-30,397.9
ES,2011-12-31,328.4
ES,2012-01-31,322.1
ES,2012-02-29,314.6
ES,2012-03-31,355.5
ES,2012-04-30,411.6
ES,2012-05-31,537.1
ES,2012-06-30,491.5
ES,2012-07-31,548.8
ES,2012-08-31,539.3
ES,2012-09-30,454.3
ES,2012-10-31,415.1
ES,2012-11-30,395.6
ES,2012-12-31,400.7
ES,2013-01-31,353.7
ES,2013-02-28,365.5
ES,2013-03-31,379.0
ES,2013-04-30,292.3
ES,2013-05-31,291.8
ES,2013-06-30,303.6
ES,2013-07-31,298.7
ES,2013-08-31,267.5
ES,2013-09-30,254.2
ES,2013-10-31,237.1
ES,2013-11-30,243.4
ES,2013-12-31,220.4
ES,2014-01-31,201.8
ES,2014-02-28,188.7
ES,2014-03-31,166.8
ES,2014-04-30,155.5
ES,2014-05-31,150.3
ES,2014-06-30,141.9
ES,2014-07-31,134.5
ES,2014-08-31,134.0
ES,2014-09-30,122.5
ES,2014-10-31,125.8
ES,2014-11-30,120.7
ES,2014-12-31,106.9
ES,2015-01-31,114.6
ES,2015-02-28,93.3
ES,2015-03-31,104.5
ES,2015-04-30,113.7
ES,2015-05-31,135.4
ES,2015-06-30,153.9
ES,2015-07-31,119.2
ES,2015-08-31,132.2
ES,2015-09-30,130.7
ES,2015-10-31,114.9
ES,2015-11-30,105.0
ES,2015-12-31,114.7
ES,2016-01-31,117.9
ES,2016-02-29,142.3
