country,country_code,type,ticker,yield,date
AU,AU,5Y,AU5Y,7.8,1996-07-31
AU,AU,5Y,AU5Y,7.59,1996-08-31
AU,AU,5Y,AU5Y,7.35,1996-09-30
AU,AU,5Y,AU5Y,7.01,1996-10-31
AU,AU,5Y,AU5Y,6.91,1996-11-30
AU,AU,5Y,AU5Y,6.96,1996-12-31
AU,AU,5Y,AU5Y,6.96,1997-01-31
AU,AU,5Y,AU5Y,7.27,1997-02-28
AU,AU,5Y,AU5Y,7.58,1997-03-31
AU,AU,5Y,AU5Y,7.3,1997-04-30
AU,AU,5Y,AU5Y,6.77,1997-05-31
AU,AU,5Y,AU5Y,6.42,1997-06-30
AU,AU,5Y,AU5Y,5.92,1997-07-31
AU,AU,5Y,AU5Y,5.98,1997-08-31
AU,AU,5Y,AU5Y,5.69,1997-09-30
AU,AU,5Y,AU5Y,5.6,1997-10-31
AU,AU,5Y,AU5Y,5.87,1997-11-30
AU,AU,5Y,AU5Y,5.72,1997-12-31
AU,AU,5Y,AU5Y,5.53,1998-01-31
AU,AU,5Y,AU5Y,5.59,1998-02-28
AU,AU,5Y,AU5Y,5.33,1998-03-31
AU,AU,5Y,AU5Y,5.36,1998-04-30
AU,AU,5Y,AU5Y,5.05,1998-05-31
AU,AU,5Y,AU5Y,5.34,1998-06-30
AU,AU,5Y,AU5Y,5.32,1998-07-31
AU,AU,5Y,AU5Y,5.64,1998-08-31
AU,AU,5Y,AU5Y,4.69,1998-09-30
AU,AU,5Y,AU5Y,4.63,1998-10-31
AU,AU,5Y,AU5Y,4.76,1998-11-30
AU,AU,5Y,AU5Y,4.77,1998-12-31
AU,AU,5Y,AU5Y,4.83,1999-01-31
AU,AU,5Y,AU5Y,5.195,1999-02-28
AU,AU,5Y,AU5Y,5.23,1999-03-31
AU,AU,5Y,AU5Y,5.4,1999-04-30
AU,AU,5Y,AU5Y,5.71,1999-05-31
AU,AU,5Y,AU5Y,5.79,1999-06-30
AU,AU,5Y,AU5Y,5.87,1999-07-31
AU,AU,5Y,AU5Y,6.13,1999-08-31
AU,AU,5Y,AU5Y,5.8,1999-09-30
AU,AU,5Y,AU5Y,6.28,1999-10-31
AU,AU,5Y,AU5Y,6.37,1999-11-30
AU,AU,5Y,AU5Y,6.64,1999-12-31
AU,AU,5Y,AU5Y,6.98,2000-01-31
AU,AU,5Y,AU5Y,6.6,2000-02-29
AU,AU,5Y,AU5Y,6.39,2000-03-31
AU,AU,5Y,AU5Y,6.55,2000-04-30
AU,AU,5Y,AU5Y,6.16,2000-05-31
AU,AU,5Y,AU5Y,6.07,2000-06-30
AU,AU,5Y,AU5Y,6.26,2000-07-31
AU,AU,5Y,AU5Y,6.25,2000-08-31
AU,AU,5Y,AU5Y,6.18,2000-09-30
AU,AU,5Y,AU5Y,6.11,2000-10-31
AU,AU,5Y,AU5Y,5.69,2000-11-30
AU,AU,5Y,AU5Y,5.33,2000-12-31
AU,AU,5Y,AU5Y,5.0,2001-01-31
AU,AU,5Y,AU5Y,4.98,2001-02-28
AU,AU,5Y,AU5Y,4.86,2001-03-31
AU,AU,5Y,AU5Y,5.39,2001-04-30
AU,AU,5Y,AU5Y,5.59,2001-05-31
AU,AU,5Y,AU5Y,5.84,2001-06-30
AU,AU,5Y,AU5Y,5.77,2001-07-31
AU,AU,5Y,AU5Y,5.19,2001-08-31
AU,AU,5Y,AU5Y,4.83,2001-09-30
AU,AU,5Y,AU5Y,4.5,2001-10-31
AU,AU,5Y,AU5Y,4.96,2001-11-30
AU,AU,5Y,AU5Y,5.36,2001-12-31
AU,AU,5Y,AU5Y,5.64,2002-01-31
AU,AU,5Y,AU5Y,5.69,2002-02-28
AU,AU,5Y,AU5Y,6.02,2002-03-31
AU,AU,5Y,AU5Y,5.69,2002-04-30
AU,AU,5Y,AU5Y,6.02,2002-05-31
AU,AU,5Y,AU5Y,5.81,2002-06-30
AU,AU,5Y,AU5Y,5.57,2002-07-31
AU,AU,5Y,AU5Y,5.47,2002-08-31
AU,AU,5Y,AU5Y,5.09,2002-09-30
AU,AU,5Y,AU5Y,5.19,2002-10-31
AU,AU,5Y,AU5Y,5.22,2002-11-30
AU,AU,5Y,AU5Y,4.78,2002-12-31
AU,AU,5Y,AU5Y,4.8,2003-01-31
AU,AU,5Y,AU5Y,4.57,2003-02-28
AU,AU,5Y,AU5Y,4.8,2003-03-31
AU,AU,5Y,AU5Y,4.91,2003-04-30
AU,AU,5Y,AU5Y,4.61,2003-05-31
AU,AU,5Y,AU5Y,4.71,2003-06-30
AU,AU,5Y,AU5Y,5.07,2003-07-31
AU,AU,5Y,AU5Y,5.27,2003-08-31
AU,AU,5Y,AU5Y,5.21,2003-09-30
AU,AU,5Y,AU5Y,5.67,2003-10-31
AU,AU,5Y,AU5Y,5.92,2003-11-30
AU,AU,5Y,AU5Y,5.53,2003-12-31
AU,AU,5Y,AU5Y,5.67,2004-01-31
AU,AU,5Y,AU5Y,5.435,2004-02-29
AU,AU,5Y,AU5Y,5.29,2004-03-31
AU,AU,5Y,AU5Y,5.7,2004-04-30
AU,AU,5Y,AU5Y,5.505,2004-05-31
AU,AU,5Y,AU5Y,5.535,2004-06-30
AU,AU,5Y,AU5Y,5.6,2004-07-31
AU,AU,5Y,AU5Y,5.415,2004-08-31
AU,AU,5Y,AU5Y,5.42,2004-09-30
AU,AU,5Y,AU5Y,5.32,2004-10-31
AU,AU,5Y,AU5Y,5.15,2004-11-30
AU,AU,5Y,AU5Y,5.2,2004-12-31
AU,AU,5Y,AU5Y,5.3,2005-01-31
AU,AU,5Y,AU5Y,5.5,2005-02-28
AU,AU,5Y,AU5Y,5.715,2005-03-31
AU,AU,5Y,AU5Y,5.325,2005-04-30
AU,AU,5Y,AU5Y,5.18,2005-05-31
AU,AU,5Y,AU5Y,5.1,2005-06-30
AU,AU,5Y,AU5Y,5.195,2005-07-31
AU,AU,5Y,AU5Y,5.065,2005-08-31
AU,AU,5Y,AU5Y,5.31,2005-09-30
AU,AU,5Y,AU5Y,5.36,2005-10-31
AU,AU,5Y,AU5Y,5.31,2005-11-30
AU,AU,5Y,AU5Y,5.23,2005-12-31
AU,AU,5Y,AU5Y,5.305,2006-01-31
AU,AU,5Y,AU5Y,5.255,2006-02-28
AU,AU,5Y,AU5Y,5.385,2006-03-31
AU,AU,5Y,AU5Y,5.705,2006-04-30
AU,AU,5Y,AU5Y,5.735,2006-05-31
AU,AU,5Y,AU5Y,5.86,2006-06-30
AU,AU,5Y,AU5Y,5.96,2006-07-31
AU,AU,5Y,AU5Y,5.765,2006-08-31
AU,AU,5Y,AU5Y,5.675,2006-09-30
AU,AU,5Y,AU5Y,5.905,2006-10-31
AU,AU,5Y,AU5Y,5.775,2006-11-30
AU,AU,5Y,AU5Y,6.09,2006-12-31
AU,AU,5Y,AU5Y,6.04,2007-01-31
AU,AU,5Y,AU5Y,5.832,2007-02-28
AU,AU,5Y,AU5Y,6.14,2007-03-31
AU,AU,5Y,AU5Y,6.04,2007-04-30
AU,AU,5Y,AU5Y,6.148,2007-05-31
AU,AU,5Y,AU5Y,6.42,2007-06-30
AU,AU,5Y,AU5Y,6.283,2007-07-31
AU,AU,5Y,AU5Y,6.145,2007-08-31
AU,AU,5Y,AU5Y,6.407,2007-09-30
AU,AU,5Y,AU5Y,6.55,2007-10-31
AU,AU,5Y,AU5Y,6.28,2007-11-30
AU,AU,5Y,AU5Y,6.74,2007-12-31
AU,AU,5Y,AU5Y,6.51,2008-01-31
AU,AU,5Y,AU5Y,6.65,2008-02-29
AU,AU,5Y,AU5Y,6.26,2008-03-31
AU,AU,5Y,AU5Y,6.35,2008-04-30
AU,AU,5Y,AU5Y,6.6,2008-05-31
AU,AU,5Y,AU5Y,6.577,2008-06-30
AU,AU,5Y,AU5Y,6.155,2008-07-31
AU,AU,5Y,AU5Y,5.698,2008-08-31
AU,AU,5Y,AU5Y,5.193,2008-09-30
AU,AU,5Y,AU5Y,4.688,2008-10-31
AU,AU,5Y,AU5Y,3.865,2008-11-30
AU,AU,5Y,AU5Y,3.42,2008-12-31
AU,AU,5Y,AU5Y,3.125,2009-01-31
AU,AU,5Y,AU5Y,3.55,2009-02-28
AU,AU,5Y,AU5Y,3.975,2009-03-31
AU,AU,5Y,AU5Y,4.035,2009-04-30
AU,AU,5Y,AU5Y,4.705,2009-05-31
AU,AU,5Y,AU5Y,5.21,2009-06-30
AU,AU,5Y,AU5Y,5.452,2009-07-31
AU,AU,5Y,AU5Y,5.345,2009-08-31
AU,AU,5Y,AU5Y,5.202,2009-09-30
AU,AU,5Y,AU5Y,5.293,2009-10-31
AU,AU,5Y,AU5Y,4.985,2009-11-30
AU,AU,5Y,AU5Y,5.162,2009-12-31
AU,AU,5Y,AU5Y,5.008,2010-01-31
